id,materia,submateria,norma,articulo,apartado,opcion,calificacion,puntos,importe,importe_reducido,responsable,vehiculo_tipo,situacion,texto_literal,inmovilizacion_procede,inmovilizacion_base,comentario_operativo,alerta_penal,referencia_penal,accion_prioritaria,palabras_clave
1,SEGURIDAD VIAL,SOA,SOA,002,1,5F,MUY GRAVE,0,1000,500,TITULAR,CICLOMOTOR,CIRCULANDO,CIRCULAR EL VEHÍCULO RESEÑADO SIN QUE CONSTE QUE SU PROPIETARIO TENGA SUSCRITO Y MANTENGA EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (CICLOMOTORES.),SI,LSV 104 y 105,Causa de posible inmovilización y depósito del vehículo.,NO,—,Inmovilizar y denunciar,soa seguro ciclomotor circulando
2,SEGURIDAD VIAL,SOA,SOA,002,1,5G,MUY GRAVE,0,1250,625,TITULAR,MOTOCICLETA,CIRCULANDO,CIRCULAR EL VEHÍCULO RESEÑADO SIN QUE CONSTE QUE SU PROPIETARIO TENGA SUSCRITO Y MANTENGA EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (MOTOCICLETAS.),SI,LSV 104 y 105,Causa de posible inmovilización y depósito del vehículo.,NO,—,Inmovilizar y denunciar,soa seguro motocicleta circulando
3,SEGURIDAD VIAL,SOA,SOA,002,1,5H,MUY GRAVE,0,1500,750,TITULAR,TURISMO,CIRCULANDO,CIRCULAR EL VEHÍCULO RESEÑADO SIN QUE CONSTE QUE SU PROPIETARIO TENGA SUSCRITO Y MANTENGA EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (TURISMOS.),SI,LSV 104 y 105,Causa de posible inmovilización y depósito del vehículo.,NO,—,Inmovilizar y denunciar,soa seguro turismo circulando coche
4,SEGURIDAD VIAL,SOA,SOA,002,1,5I,MUY GRAVE,0,2800,1400,TITULAR,3ª CATEGORÍA,CIRCULANDO,CIRCULAR EL VEHÍCULO RESEÑADO SIN QUE CONSTE QUE SU PROPIETARIO TENGA SUSCRITO Y MANTENGA EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (VEHÍCULOS DE TERCERA CATEGORÍA.),SI,LSV 104 y 105,Causa de posible inmovilización y depósito del vehículo.,NO,—,Inmovilizar y denunciar,soa seguro tercera categoria camion autobus circulando
5,SEGURIDAD VIAL,SOA,SOA,002,1,5J,MUY GRAVE,0,650,325,TITULAR,CICLOMOTOR,NO CIRCULANDO,INCUMPLIR EL PROPIETARIO DEL VEHÍCULO RESEÑADO LA OBLIGACIÓN DE SUSCRIBIR Y MANTENER EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (CICLOMOTORES.),NO,,No procede inmovilización si no circula.,NO,—,Denunciar,soa seguro ciclomotor no circulando estacionado
6,SEGURIDAD VIAL,SOA,SOA,002,1,5K,MUY GRAVE,0,700,350,TITULAR,MOTOCICLETA,NO CIRCULANDO,INCUMPLIR EL PROPIETARIO DEL VEHÍCULO RESEÑADO LA OBLIGACIÓN DE SUSCRIBIR Y MANTENER EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (MOTOCICLETAS.),NO,,No procede inmovilización si no circula.,NO,—,Denunciar,soa seguro motocicleta no circulando estacionada
7,SEGURIDAD VIAL,SOA,SOA,002,1,5L,MUY GRAVE,0,800,400,TITULAR,TURISMO,NO CIRCULANDO,INCUMPLIR EL PROPIETARIO DEL VEHÍCULO RESEÑADO LA OBLIGACIÓN DE SUSCRIBIR Y MANTENER EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (TURISMOS.),NO,,No procede inmovilización si no circula.,NO,—,Denunciar,soa seguro turismo no circulando estacionado coche
8,SEGURIDAD VIAL,SOA,SOA,002,1,5M,MUY GRAVE,0,1500,750,TITULAR,3ª CATEGORÍA,NO CIRCULANDO,INCUMPLIR EL PROPIETARIO DEL VEHÍCULO RESEÑADO LA OBLIGACIÓN DE SUSCRIBIR Y MANTENER EN VIGOR UN CONTRATO DE SEGURO QUE CUBRA LA RESPONSABILIDAD CIVIL DERIVADA DE SU CIRCULACIÓN. (VEHÍCULOS DE TERCERA CATEGORÍA.),NO,,No procede inmovilización si no circula.,NO,—,Denunciar,soa seguro tercera categoria camion autobus no circulando estacionado
9,SEGURIDAD VIAL,PERMISOS,CON,012,4,5B,GRAVE,0,200,100,CONDUCTOR,—,CIRCULANDO,CONDUCIR EL VEHÍCULO RESEÑADO CON UN PERMISO O LICENCIA DE CONDUCCIÓN CUYA VIGENCIA HA VENCIDO.,NO,,Permiso caducado.,NO,—,Denunciar,permiso caducado
10,SEGURIDAD VIAL,PERMISOS,CON,001,1,5A,MUY GRAVE,0,500,250,CONDUCTOR,—,CIRCULANDO,CONDUCIR EL VEHÍCULO RESEÑADO CARECIENDO DE LA AUTORIZACIÓN ADMINISTRATIVA CORRESPONDIENTE.,SI,LSV 104,Sin permiso: revisar si concurre supuesto penal del art. 384 CP.,SI,CP 384 (según supuesto),Valorar diligencias penales o denuncia administrativa según el caso,sin permiso nunca obtenido perdida total puntos privacion judicial
