id,materia,submateria,norma,articulo,apartado,opcion,calificacion,puntos,importe,importe_reducido,responsable,vehiculo_tipo,situacion,texto_literal,inmovilizacion_procede,inmovilizacion_base,comentario_operativo,alerta_penal,referencia_penal,accion_prioritaria,palabras_clave
11,SEGURIDAD VIAL,PERMISOS,CON,001,1,5A,MUY GRAVE,0,500,250,CONDUCTOR,—,CIRCULANDO,CONDUCIR EL VEHÍCULO RESEÑADO CARECIENDO DE LA AUTORIZACIÓN ADMINISTRATIVA CORRESPONDIENTE.,SI,LSV 104,Pérdida total de puntos: posible CP 384.,SI,CP 384,Tramitar diligencias penales si procede,sin permiso perdida total puntos
12,SEGURIDAD VIAL,PERMISOS,CON,001,1,5A,MUY GRAVE,0,500,250,CONDUCTOR,—,CIRCULANDO,CONDUCIR EL VEHÍCULO RESEÑADO CARECIENDO DE LA AUTORIZACIÓN ADMINISTRATIVA CORRESPONDIENTE.,SI,LSV 104,Privación judicial: posible CP 384.,SI,CP 384,Tramitar diligencias penales si procede,sin permiso privacion judicial
13,SEGURIDAD VIAL,PERMISOS,CON,001,1,5A,MUY GRAVE,0,500,250,CONDUCTOR,—,CIRCULANDO,CONDUCIR EL VEHÍCULO RESEÑADO CARECIENDO DE LA AUTORIZACIÓN ADMINISTRATIVA CORRESPONDIENTE.,SI,LSV 104,Otro supuesto administrativo sin autorización.,NO,—,Denunciar,sin permiso administrativo
14,SEGURIDAD VIAL,PERMISOS,CON,001,1,5B,GRAVE,0,200,100,CONDUCTOR,—,CIRCULANDO,"CONDUCIR EL VEHÍCULO RESEÑADO CARECIENDO DE AUTORIZACIÓN ADMINISTRATIVA VÁLIDA EN ESPAÑA, SIENDO TITULAR DE UN PERMISO EXTRANJERO EQUIVALENTE, SUSCEPTIBLE DE SER CANJEADO.",NO,,Permiso extranjero canjeable no válido en España.,NO,—,Denunciar,permiso extranjero canjeable
15,SEGURIDAD VIAL,PERMISOS,CON,001,1,5E,MUY GRAVE,0,500,250,CONDUCTOR,—,CIRCULANDO,"CONDUCIR EL VEHÍCULO RESEÑADO CARECIENDO DE AUTORIZACIÓN ADMINISTRATIVA DE CONDUCCIÓN VÁLIDA EN ESPAÑA, SIENDO TITULAR DE PERMISO EXTRANJERO EQUIVALENTE NO SUSCEPTIBLE DE CANJE POR INCUMPLIMIENTO DE CONDICIONES Y REQUISITOS REGLAMENTARIAMENTE EXIGIDOS.",NO,,Permiso extranjero no canjeable o no válido en España.,NO,—,Denunciar,permiso extranjero no canjeable
16,SEGURIDAD VIAL,PERMISOS,CON,001,1,5C,MUY GRAVE,4,500,250,CONDUCTOR,—,CIRCULANDO,CONDUCIR UN VEHÍCULO CON UN PERMISO O LICENCIA QUE NO LE HABILITA PARA ELLO.,NO,,Permiso no habilita para ese vehículo.,NO,—,Denunciar,permiso no habilita vehiculo
17,SEGURIDAD VIAL,PERMISOS,CON,001,1,5D,GRAVE,0,200,100,CONDUCTOR,—,CIRCULANDO,CONDUCIR EL VEHÍCULO RESEÑADO CON UNA AUTORIZACIÓN QUE CARECE DE VALIDEZ POR NO HABER CUMPLIDO LOS REQUISITOS ADMINISTRATIVOS EXIGIDOS REGLAMENTARIAMENTE EN ESPAÑA.,NO,,Incumplimiento de requisitos administrativos.,NO,—,Denunciar,permiso no valido requisitos administrativos
18,SEGURIDAD VIAL,DROGAS,LSV,014,1,5A,MUY GRAVE,6,1000,500,CONDUCTOR,—,CIRCULANDO,CONDUCIR CON PRESENCIA DE DROGAS EN EL ORGANISMO.,SI,LSV 104 y 105,Requiere procedimiento reglamentario de detección.,NO,—,Inmovilizar y denunciar,drogas positivo presencia
19,SEGURIDAD VIAL,DROGAS,LSV,014,2,5A,MUY GRAVE,6,1000,500,CONDUCTOR,—,CIRCULANDO,NO SOMETERSE A LAS PRUEBAS DE DETECCIÓN DE LA POSIBLE PRESENCIA DE DROGAS EN EL ORGANISMO.,SI,LSV 104 y 105,La negativa a la prueba de drogas tiene reproche penal.,SI,CP 383,Tramitar diligencias penales y adoptar medidas sobre el vehículo,drogas negativa prueba
20,SEGURIDAD VIAL,ITV,VEH,010,1,5A,GRAVE,0,200,100,TITULAR / ARRENDATARIO A LARGO PLAZO,—,—,NO HABERSE SOMETIDO EL VEHÍCULO RESEÑADO A LA INSPECCIÓN TÉCNICA PERIÓDICA ESTABLECIDA REGLAMENTARIAMENTE.,NO,,ITV periódica no pasada.,NO,—,Denunciar,itv caducada no sometido
21,SEGURIDAD VIAL,ITV,VEH,010,1,5C,GRAVE,0,200,100,TITULAR / ARRENDATARIO A LARGO PLAZO,—,CIRCULANDO,CIRCULAR CON EL VEHÍCULO RESEÑADO CUYA INSPECCIÓN TÉCNICA HA RESULTADO DESFAVORABLE.,NO,,La estación ITV concede un plazo inferior a dos meses para subsanar.,NO,—,Denunciar,itv desfavorable
22,SEGURIDAD VIAL,ITV,VEH,010,1,5D,MUY GRAVE,0,500,250,TITULAR / ARRENDATARIO A LARGO PLAZO,—,CIRCULANDO,"CIRCULAR EL VEHÍCULO RESEÑADO, HABIENDO QUEDADO INHABILITADO PARA ELLO AL NO HABER SIDO SOMETIDO A NUEVA INSPECCIÓN EN EL PLAZO MÁXIMO REGLAMENTARIAMENTE ESTABLECIDO, TRAS UN PRIMER RESULTADO DESFAVORABLE EN AQUELLA.",NO,,Desfavorable no subsanada en plazo máximo.,NO,—,Denunciar,itv desfavorable fuera de plazo
23,SEGURIDAD VIAL,ITV,VEH,010,1,5B,MUY GRAVE,0,500,250,TITULAR / ARRENDATARIO A LARGO PLAZO,—,CIRCULANDO,CIRCULAR CON EL VEHÍCULO RESEÑADO CUYA INSPECCIÓN TÉCNICA HA RESULTADO NEGATIVA POR INCUMPLIR EL MISMO LAS CONDICIONES TÉCNICAS QUE GARANTIZAN LA SEGURIDAD VIAL.,SI,LSV 104,ITV negativa. Procede valorar inmovilización preventiva.,NO,—,Inmovilizar y denunciar,itv negativa
24,SEGURIDAD VIAL,ITV,VEH,010,1,5F,GRAVE,0,200,100,TITULAR / ARRENDATARIO A LARGO PLAZO,—,CIRCULANDO,"PONER EN CIRCULACIÓN EL VEHÍCULO RESEÑADO, CUYA ÚLTIMA INSPECCIÓN TÉCNICA HA RESULTADO NEGATIVA, HABIENDO QUEDADO INHABILITADO PARA CIRCULAR POR LAS VÍAS PÚBLICAS.",NO,,Vehículo inhabilitado por ITV negativa.,NO,—,Denunciar,itv negativa circulando
25,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5E,MUY GRAVE,4,500,250,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,25 MILIGRAMOS POR LITRO. (PARA CONDUCTORES EN GENERAL, PRUEBAS SIEMPRE CON ETILÓMETROS HOMOLOGADOS)",SI,LSV 104 y 105,"General no reincidente, tramo básico en aire.",NO,—,Inmovilizar y denunciar,alcohol general aire basico
26,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5F,MUY GRAVE,4,500,250,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,50 GRAMOS POR 1000 C.C. (PARA CONDUCTORES EN GENERAL)",SI,LSV 104 y 105,"General no reincidente, tramo básico en sangre.",NO,—,Inmovilizar y denunciar,alcohol general sangre basico
27,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5I,MUY GRAVE,6,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,25 MILIGRAMOS POR LITRO, SOBREPASANDO LOS 0,50 MG/L.",SI,LSV 104 y 105,"General no reincidente, tramo alto en aire. Posible relevancia penal según tasa.",SI,CP 379.2 (según tasa),Valorar vía penal si alcanza la tasa penal,alcohol general aire alto
28,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5J,MUY GRAVE,6,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,50 GRAMOS POR MIL C.C., SOBREPASANDO 1,00 GR/L.",SI,LSV 104 y 105,"General no reincidente, tramo alto en sangre. Posible relevancia penal según tasa.",SI,CP 379.2 (según tasa),Valorar vía penal si alcanza la tasa penal,alcohol general sangre alto
29,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5M,MUY GRAVE,4,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,25 MILIGRAMOS POR LITRO. (REINCIDENCIA ADMINISTRATIVA EN EL AÑO INMEDIATAMENTE ANTERIOR)",SI,LSV 104 y 105,"General reincidente, tramo básico en aire.",NO,—,Inmovilizar y denunciar,alcohol general reincidente aire
30,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5N,MUY GRAVE,4,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,50 GRAMOS POR 1000 C.C. (PARA CONDUCTORES EN GENERAL. REINCIDENCIA ADMINISTRATIVA EN EL AÑO INMEDIATAMENTE ANTERIOR)",SI,LSV 104 y 105,"General reincidente, tramo básico en sangre.",NO,—,Inmovilizar y denunciar,alcohol general reincidente sangre
31,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5G,MUY GRAVE,4,500,250,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,15 MILIGRAMOS POR LITRO. (PARA CONDUCTORES PROFESIONALES, NOVELES Y ASIMILADOS)",SI,LSV 104 y 105,"Profesionales o nóveles no reincidente, tramo básico en aire.",NO,—,Inmovilizar y denunciar,alcohol profesional novel aire basico
32,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5H,MUY GRAVE,4,500,250,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,30 GRAMOS POR 1000 C.C. (PARA CONDUCTORES PROFESIONALES, NOVELES Y ASIMILADOS)",SI,LSV 104 y 105,"Profesionales o nóveles no reincidente, tramo básico en sangre.",NO,—,Inmovilizar y denunciar,alcohol profesional novel sangre basico
33,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5K,MUY GRAVE,6,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,15 MILIGRAMOS POR LITRO, SOBREPASANDO LOS 0,30 MG/L. (PARA CONDUCTORES PROFESIONALES, NOVELES Y ASIMILADOS)",SI,LSV 104 y 105,"Profesionales o nóveles no reincidente, tramo alto en aire. Posible relevancia penal según tasa.",SI,CP 379.2 (según tasa),Valorar vía penal si alcanza la tasa penal,alcohol profesional novel aire alto
34,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5L,MUY GRAVE,6,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,30 GRAMOS POR MIL C.C., SOBREPASANDO LOS 0,60 GR/L. (PARA CONDUCTORES PROFESIONALES, NOVELES Y ASIMILADOS)",SI,LSV 104 y 105,"Profesionales o nóveles no reincidente, tramo alto en sangre. Posible relevancia penal según tasa.",SI,CP 379.2 (según tasa),Valorar vía penal si alcanza la tasa penal,alcohol profesional novel sangre alto
35,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5Ñ,MUY GRAVE,4,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN AIRE ESPIRADO SUPERIOR A 0,15 MILIGRAMOS POR LITRO. (REINCIDENCIA ADMINISTRATIVA PARA CONDUCTORES PROFESIONALES, NOVELES Y ASIMILADOS)",SI,LSV 104 y 105,"Profesionales o nóveles reincidente, tramo básico en aire.",NO,—,Inmovilizar y denunciar,alcohol profesional novel reincidente aire
36,SEGURIDAD VIAL,ALCOHOL,CIR,020,1,5O,MUY GRAVE,4,1000,500,CONDUCTOR,—,CIRCULANDO,"CIRCULAR CON UNA TASA DE ALCOHOL EN SANGRE SUPERIOR A 0,30 GRAMOS POR 1000 C.C. (REINCIDENCIA ADMINISTRATIVA PARA CONDUCTORES PROFESIONALES, NOVELES Y ASIMILADOS)",SI,LSV 104 y 105,"Profesionales o nóveles reincidente, tramo básico en sangre.",NO,—,Inmovilizar y denunciar,alcohol profesional novel reincidente sangre
37,SEGURIDAD VIAL,ALCOHOL,CIR,021,1,5F,MUY GRAVE,6,1000,500,CONDUCTOR,—,CIRCULANDO,"NO SOMETERSE A LAS PRUEBAS DE DETECCIÓN DE ALCOHOL, HABIENDO SIDO REQUERIDO PARA ELLO POR LOS AGENTES ENCARGADOS DE LA VIGILANCIA DEL TRÁFICO.",SI,LSV 104 y 105,La negativa a la prueba de alcohol tiene reproche penal.,SI,CP 383,Tramitar diligencias penales y adoptar medidas sobre el vehículo,alcohol negativa prueba
